Title;Genre;Languages;Series or Movie;Country Availability;Runtime;Director;Actors;View Rating;Rotten Tomatoes Score;Metacritic Score;Awards Received;Awards Nominated For;Boxoffice;Release Date;Netflix Release Date;IMDb Votes;IMDb Score
Barfi!;Comedy, Drama, Romance;Hindi;Movie;Australia,Czech Republic,France,Singapore,Russia,India,Slovakia,Belgium,Lithuania,Romania,Germany,Hungary,Switzerland,United Kingdom,Greece,Canada,Argentina,Hong Kong,South Africa,Mexico,Iceland,Thailand,Poland,Spain,Portugal,Sweden,United States,Japan,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia;> 2 hrs;Anurag Basu;Ranbir Kapoor, Priyanka Chopra, Saurabh Shukla, Ileana D Cruz;Not Rated;86;;58;28;$2,804,874;14-sep-12;14/4/2015;75939;8.1
Battle Royale;Action, Adventure, Drama, Sci-Fi, Thriller;Japanese;Movie;Japan,South Korea;1-2 hour;Kinji Fukasaku;Tar Yamamoto, Tatsuya Fujiwara, Aki Maeda, Takeshi Kitano;Not Rated;88;81;7;9;;16 Dec 2000;14/4/2015;169442;7.6
The Awakening;Horror, Thriller;English, French;Movie;Italy;1-2 hour;Nick Murphy;Imelda Staunton, Dominic West, Isaac Hempstead Wright, Rebecca Hall;R;62;53;4;2;$ 209,70;11-nov-11;14/4/2015;63368;6.5
Autumns Concerto;Drama, Romance;Hokkien, Mandarin;Series;United Kingdom,Australia,India,Hungary,Lithuania,Romania,South Africa,Singapore,Canada,South Korea,Russia,Japan,Thailand,Czech Republic,United States,Greece,Slovakia,Malaysia,Iceland;< 30 minutes;;Kang Ren Wu, Linda Jui-Chi Liu, Ady An, Vanness Wu;;;;;1;;4-oct-09;14/4/2015;376;8
Straight As;Comedy, Drama;English;Movie;Switzerland,Germany;1-2 hour;James Cox;Riley Thomas Stewart, Anna Paquin, Ryan Phillippe, Luke Wilson;R;39;;;;;18-jul-13;14/4/2015;4394;5.7
As Tears Go By;Crime, Drama, Romance;Cantonese;Movie;South Korea;1-2 hour;Kar-Wai Wong;Maggie Cheung, Andy Lau, Jacky Cheung, Alex Man;Not Rated;82;;2;10;$ 9,44;2-may-08;14/4/2015;8418;7
As It Is in Heaven;Comedy, Drama, Music, Romance;Swedish, English, Italian;Movie;Sweden;> 2 hrs;Kay Pollak;Michael Nyqvist, Helen Sj�holm, Frida Hallgren, Lennart Jhkel;Not Rated;83;;2;12;$ 10,24;3-sep-04;14/4/2015;16429;7.5
Armadillo;Documentary, War;Danish;Movie;Sweden;1-2 hour;Janus Metz;;Not Rated;91;72;10;16;$ 14,57;27-may-10;14/4/2015;9314;7.5
Andaz Apna Apna;Action, Comedy, Romance;Hindi;Movie;Romania,Singapore,Czech Republic,Russia,Hungary,Slovakia,Lithuania,South Africa,Thailand,United Kingdom,Argentina,Canada,Iceland,India,Australia,Portugal,Switzerland,Japan,Mexico,Belgium,Germany,Sweden,Greece,Hong Kong,Spain,France,United States,Poland,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia;< 30 minutes;Rajkumar Santoshi;Salman Khan, Raveena Tandon, Karisma Kapoor, Aamir Khan;PG;96;;;4;;4-nov-94;14/4/2015;49460;8.2
Relationship Status: Its Complicated;Comedy, Romance;French;Movie;France;1-2 hour;Rodolphe Lauga, Manu Payet;Emmanuelle Chriqui, Philippe Duquesne, Ana�s Demoustier, Manu Payet;;19;;1;;;19-mar-14;14/4/2015;824;5.5
I Am Divine;Documentary;English;Movie;United States;1-2 hour;Jeffrey Schwarz;Greg Gorman, Divine, Michael Musto, Mark Payne;Not Rated;96;70;4;3;$ 81,50;01 Apr 2014;14/4/2015;2453;7.6
American Mary;Drama, Horror;English, Hungarian, German;Movie;United Kingdom;1-2 hour;Sylvia Soska, Jen Soska;Antonio Cupo, David Lovgren, Katharine Isabelle, Tristan Risk;R;60;46;15;9;;11 Jan 2013;14/4/2015;22895;6.3
Tuesday, After Christmas;Drama, Romance;Romanian;Movie;Romania;1-2 hour;Radu Muntean;Sasa Paul-Szel, Maria Popistasu, Mimi Branescu, Mirela Oprisor;Unrated;74;81;7;15;$ 27,81;25-may-11;14/4/2015;4356;6.9
Digimon Adventure;Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi, Thriller;Spanish, Japanese;Series;Japan;< 30 minutes;;Y�ko Mizutani, Hiroaki Hirata, Chika Sakamoto, Toshiko Fujita;TV-Y7-FV;;;;;;14 Aug 1999;14/4/2015;5766;7.9
Adam: His Song Continues;Crime, Drama;English;Movie;United States;1-2 hour;Robert Markowitz;Daniel J. Travanti, JoBeth Williams, Richard Masur, Martha Scott;Not Rated;;;;;;29-sep-86;14/4/2015;174;7.2
Adventure Planet;Animation, Adventure;Thai, English;Movie;Thailand;1-2 hour;Kompin Kemgumnird;Noppan Chantasorn, Kongdej Jaturanrasamee, Bailee Madison, Athipich Chutiwatkajornchai;PG;;;3;;;01 Aug 2014;14/4/2015;174;5
The Accidental Spy;Action, Comedy, Crime, Mystery, Thriller;Cantonese, Mandarin, English, Korean, French, Turkish;Movie;Hong Kong,Singapore,Malaysia;1-2 hour;Teddy Chan;Min Kim, Eric Tsang, Vivian Hsu, Jackie Chan;PG-13;29;;2;3;;18 Jan 2001;14/4/2015;16420;5.9
Action Replayy;Comedy, Romance, Sci-Fi;Hindi;Movie;Lithuania,Singapore,Russia,Czech Republic,Hungary,Slovakia,Romania,South Africa,Thailand,United Kingdom,Argentina,Canada,Iceland,India,Australia,Portugal,Switzerland,Japan,Mexico,Belgium,Germany,Sweden,Greece,Hong Kong,Spain,France,United States,Poland,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia;> 2 hrs;Vipul Amrutlal Shah;Om Puri, Aishwarya Rai Bachchan, Akshay Kumar, Aditya Roy Kapoor;Not Rated;0;;;1;;5-nov-10;14/4/2015;5661;4.2
Zindagi Na Milegi Dobara;Comedy, Drama;Hindi, English, Spanish;Movie;Thailand,South Africa,Australia,France,Singapore,Switzerland,Russia,Hong Kong,India,Hungary,Slovakia,Belgium,Germany,Lithuania,Turkey,United Kingdom,Greece,Iceland,Canada,Romania,Argentina,Mexico,Czech Republic,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia;> 2 hrs;Zoya Akhtar;Farhan Akhtar, Hrithik Roshan, Katrina Kaif, Abhay Deol;Not Rated;92;;32;22;$3,108,485;15-jul-11;14/4/2015;68251;8.2
