Title;Genre;Languages;Series or Movie;Country Availability;Runtime;Director;Actors;View Rating;Rotten Tomatoes Score;Metacritic Score;Awards Received;Awards Nominated For;Boxoffice;Release Date;Netflix Release Date;IMDb Votes;IMDb Score
GO! The Unforgettable Party;Family;Spanish;Movie;Poland,Portugal,Slovakia,Mexico,Germany,Lithuania,Turkey,Iceland,Spain,United Kingdom,South Africa,Romania,Canada,Belgium,Thailand,Czech Republic,Greece,Switzerland,Argentina,Australia,Japan,Russia,France,Singapore,India,Hong Kong,Sweden,Hungary,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia;1-2 hour;Mauro Scandolari;Darcy Rose Byrnes, Rebecca Davis, Jill Galbraith, Marley Estrada;;;;;;;15-nov-19;15/11/2019;85;6.1
A Bride for Rip Van Winkle;Drama, Mystery, Romance;Japanese;Movie;Japan;> 2 hrs;Shunji Iwai;Haru Kuroki, Cocco, G Jibiki, G Ayano;;75;56;2;6;;26-mar-16;15/11/2019;1388;7.2
Cherry Boys;Comedy;Japanese;Movie;Japan,Hong Kong,Thailand,South Korea,Singapore,India,Malaysia;1-2 hour;Ken ichir Nishiumi;Mitsuru Fukikoshi, Kento Hayashi, Ryma Baba, Han nya;;;;;;;17-feb-18;15/11/2019;37;4.5
14 That Night;Drama;Japanese;Movie;Japan,Hong Kong,Thailand,Singapore,India,Malaysia;1-2 hour;Shin Adachi;Taka Guadalcanal, Mari Hamada, Naoki Inukai, Nana Asakawa;;;;;;;24 Dec 2016;15/11/2019;31;6.2
The 24 Hour War;Documentary, History;English;Movie;Switzerland,Australia,France,Sweden,Portugal,Argentina,Germany,United Kingdom,Iceland,Spain,South Africa,Canada,Mexico,Poland,Belgium,Turkey,United States,Brazil,Netherlands,Israel,Colombia;1-2 hour;Nate Adams, Adam Carolla;Bob Bondurant, Mario Andretti, A.J. Baime, Charlie Agapiou;;100;;1;;;;15/11/2019;1879;7.2
Guna 369;Action, Drama;Telugu;Movie;Australia,Russia,Singapore,India,Hungary,Lithuania,United Kingdom,South Africa,Romania,Canada,Thailand,Czech Republic,United States,Greece,Slovakia,Malaysia,Iceland,Israel;> 2 hrs;Arjun Jandyala;Anagha L.K., Adithya Menon, Kartikeya Gummakonda;;;;;;;01 Aug 2019;15/11/2019;279;6.1
El sendero de la anaconda;Documentary;English, Spanish;Movie;Australia,Japan,Singapore,Russia,France,Hong Kong,India,Sweden,Poland,Hungary,Portugal,Slovakia,Germany,Lithuania,Turkey,Spain,Iceland,United Kingdom,South Africa,Romania,Canada,Belgium,Thailand,Greece,Mexico,Czech Republic,Switzerland,Argentina,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia;1-2 hour;Alessandro Angulo;;;;;;2;;27-jun-19;15/11/2019;219;6.8
My MVP Valentine;Drama;Mandarin;Series;Thailand,South Africa,Australia,Russia,Singapore,Hong Kong,Hungary,India,Lithuania,United Kingdom,Canada,Romania,Czech Republic,United States,Greece,Slovakia,Malaysia,Iceland,Israel;< 30 minutes;;Tony Sun, Angela Shao-Han Chang, Hsing-shu Yen, Hsing-Wen Li;;;;;;;21-jul-02;14/11/2019;19;6.5
Nothing to Lose 2;Biography, Drama;Portuguese;Movie;Thailand,Greece,South Africa,Switzerland,Australia,France,Hong Kong,Japan,Russia,Netherlands,Singapore,Czech Republic,Sweden,Poland,Portugal,Hungary,Argentina,India,Israel,Slovakia,Brazil,Germany,Lithuania,Turkey,Mexico,Italy,Spain,Iceland,United Kingdom,Romania,Belgium,Canada,South Korea,United States,Malaysia,Colombia;1-2 hour;Alexandre Avancini;Beth Goulart, Dalton Vigh, Petrnio Gontijo, Day Mesquita;PG-13;;;;;$1,150,551;27-sep-19;14/11/2019;597;3.4
SunGanges;Documentary, Adventure, News;English;Movie;Thailand,Australia,Russia,Singapore,India,Hungary,Lithuania,United Kingdom,Canada,Romania,South Africa,Czech Republic,United States,Greece,Slovakia,Malaysia,Iceland,Israel;1-2 hour;Valli Bindana;Shripad Dharmadhikary, Naseeruddin Shah, Himanshu Thakkar, Parineeta Dandekar;;;;;;;15-nov-19;14/11/2019;67;7.8
The Stranded;Adventure, Drama, Mystery;Thai;Series;Mexico,Italy,United States,Belgium,Thailand,Greece,Czech Republic,Switzerland,South Korea,South Africa,Japan,France,Australia,Netherlands,Sweden,Russia,Poland,Singapore,Hong Kong,Portugal,Hungary,India,Argentina,Israel,Germany,Brazil,Lithuania,Turkey,Slovakia,Iceland,Spain,United Kingdom,Canada,Romania,Malaysia,Colombia;< 30 minutes;;Chutawut Phatrakampol, Papangkorn Lerkchaleampote, Chayanit Chansangavej, Oabnithi Wiwattanawarang;TV-MA;;;;;;15-nov-19;14/11/2019;990;6.3
Clarence Clemons: Who Do I Think I Am;Documentary;English;Movie;United States,Canada;1-2 hour;Nick Mead;Joe Walsh, Jake Clemons, Nils Lofgren, Clarence Clemons;Not Rated;;;;;;27 Apr 2019;14/11/2019;89;6.3
Az �llampolg�r;Drama;Hungarian;Movie;Hungary;1-2 hour;Roland Vranik;gnes M�hr, T�nde Szalontay, Cake-Baly Marcelo, Arghavan Shekari;;;80;2;;$ 3,50;6-jul-18;14/11/2019;757;7.2
In The Name of Sherlock Holmes;Adventure, Family, Fantasy, Mystery;Hungarian;Movie;Hungary;1-2 hour;Zsolt Bern�th;Szn�si Krist�f, Ungv�r d�m, Kugler Nikolett, Tibor G�sp�r;;;;1;;;26 Jan 2012;14/11/2019;129;5.3
A Serious Game;Drama, Romance;Swedish;Movie;Poland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland;1-2 hour;Pernilla August;Sverrir Gudnason, Michael Nyqvist, Karin Franz K�rlof, Liv Mj�nes;;;;2;4;;9-sep-16;14/11/2019;1009;6.3
Dragon Ball Super: Broly;Animation, Action, Adventure, Family, Fantasy, Sci-Fi;Japanese;Movie;Australia,Canada;1-2 hour;Tatsuya Nagamine;Toshio Furukawa, Masako Nozawa, Ry Horikawa, Aya Hisakawa;PG;;59;;1;$30,712,119;16 Jan 2019;13/11/2019;22686;7.9
Maradona in Mexico;Documentary, Comedy, Drama, Sport;Spanish;Series;Mexico,Lithuania,Brazil,Italy,Turkey,United Kingdom,Spain,Belgium,Canada,Thailand,South Africa,Greece,Romania,United States,Switzerland,Argentina,Israel,Iceland,Australia,Czech Republic,Japan,France,South Korea,Russia,Netherlands,Singapore,Hong Kong,Sweden,Poland,Hungary,Portugal,Slovakia,India,Germany,Malaysia,Colombia;< 30 minutes;;Vanessa Nicole Hill, Jarrod Pistilli;;;;;;;13-nov-19;13/11/2019;931;7.2
Jeff Garlin: Our Man In Chicago;Comedy;English;Movie;Greece,Russia,Portugal,Lithuania,Spain,Israel,Iceland,Italy,Australia,South Africa,Netherlands,Germany,Turkey,Argentina,Czech Republic,France,Japan,South Korea,Sweden,Poland,Hong Kong,Hungary,Brazil,Slovakia,Mexico,United Kingdom,Romania,Singapore,Canada,Belgium,India,Switzerland,Thailand,United States;30-60 mins;Christopher Storer;Jeff Garlin;;;;;;;12-nov-19;12/11/2019;356;5.9
My Dear Warrior;Fantasy, Romance;Thai;Series;Thailand,Romania,Greece,Switzerland,Japan,France,Argentina,Sweden,Poland,Portugal,Germany,Mexico,Turkey,Spain,Belgium,South Africa,South Korea,Russia,Singapore,Hong Kong,India,Hungary,Slovakia,Lithuania,United Kingdom,Canada,Iceland,Czech Republic,Australia,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia;< 30 minutes;;Tanapak Jongjaiphar;;;;;;;;12/11/2019;9;4
I Wake Up Yesterday;Comedy, Sci-Fi;Czech;Movie;Czech Republic,Slovakia;1-2 hour;Milos Smdmajer;Martina Preissov�, Eva Josefkov�, Filip Blazek, Jir M�dl;;;;;;;15-mar-12;12/11/2019;383;6.2
The World Is Mine;Drama;Romanian;Movie;Romania,Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Sweden,Netherlands,Germany,Switzerland,United Kingdom,Iceland;1-2 hour;Nicolae Constantin Tanase;Mircea Rusu, Ana Maria Guran, Crina Muresan, Ana Vatamanu;;33;;4;8;;5-jun-15;12/11/2019;806;6.2
Go Go Squid;Drama, Romance;Chinese;Series;South Korea,Thailand,Singapore,Malaysia;< 30 minutes;;Xian Li, Yifan Wen, Zi Yang, Mingde Li;;;;15;13;;9-jul-19;11/11/2019;604;7.7
To Be of Service;Documentary;English;Movie;United States;1-2 hour;Josh Aronson;Sylvia Bowersox, Brittany Barry, Phil Bauer, Jon Bowersox;;;;;;$ 6,17;1-nov-19;11/11/2019;63;7.2
Papi Chulo;Comedy, Drama;English;Movie;United Kingdom;1-2 hour;John Butler;Alejandro Pati�o, Matt Bomer, Elena Campbell-Martinez, Wendi McLendon-Covey;R;76;42;1;3;$ 84,70;7-jun-19;11/11/2019;1258;6.5
Sobibor;Drama, History, Thriller, War;Dutch, Russian, German, Polish;Movie;Netherlands;1-2 hour;Konstantin Khabenskiy;Michalina Olszanska, Christopher Lambert, Konstantin Khabenskiy, Mariya Kozhevnikova;TV-MA;75;;2;;;29-mar-19;11/11/2019;4300;6.4
Put Your Head on My Shoulder;Comedy, Romance;Mandarin;Series;Australia,France,Russia,Singapore,Hong Kong,Sweden,Poland,Hungary,Slovakia,India,Germany,Lithuania,United Kingdom,Spain,Canada,Turkey,Thailand,Belgium,South Africa,Romania,Switzerland,Greece,Czech Republic,Iceland,Portugal,South Korea,Argentina,Mexico,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia;< 30 minutes;;Xing Fei, Lin Yi;TV-14;;;6;4;;10 Apr 2019;11/11/2019;867;7.9
V�clav;Comedy, Drama;Czech;Movie;Slovakia;1-2 hour;Jir Vejdelek;Sona Norisov�, Ivan Trojan, Emlia V�s�ryov�, Jan Budar;;79;;5;3;;06 Dec 2007;10/11/2019;434;7
Identity Card;Comedy, Drama;Czech;Movie;Slovakia;> 2 hrs;Ondrej Trojan;Jan Vlcek, Jakub S�rka, Matous Vrba, Libor Kov�r;;;;;16;;21-oct-10;10/11/2019;964;7.5
Beauty in Trouble;Comedy, Drama;Czech;Movie;Slovakia;1-2 hour;Jan Hrebejk;Jana Brejchov�, Josef Abrh�m, Jir Schmitzer, Anna Geislerov�;Unrated;86;75;6;6;$ 19,30;13-jun-08;10/11/2019;894;6.8
Fifty Shades Freed;Drama, Romance, Thriller;English;Movie;Canada,Brazil,Argentina,Mexico,Japan,Colombia,France,Switzerland;1-2 hour;James Foley;Eloise Mumford, Eric Johnson, Dakota Johnson, Jamie Dornan;R;11;31;6;10;$100,407,760;9-feb-18;10/11/2019;56092;4.5
Gangster Ka;Crime, Drama, Thriller;Czech;Movie;Czech Republic,Slovakia;1-2 hour;Jan Pachl;Vlastina Sv�tkov�, Filip Capka, Hynek Cerm�k, Predrag Bjelac;;;;;2;;10-sep-15;9/11/2019;336;6.5
Boy Erased;Biography, Drama;English;Movie;Israel,India,Greece,Sweden,Turkey,Poland,Lithuania,United Kingdom,Canada;1-2 hour;Joel Edgerton;Madelyn Cline, Lucas Hedges, Russell Crowe, Nicole Kidman;R;81;69;11;49;$6,788,692;8-nov-18;9/11/2019;32734;6.9
Let It Snow;Comedy, Romance;English;Movie;Spain,South Africa,Israel,Mexico,Romania,Italy,Iceland,Belgium,Czech Republic,Greece,Thailand,Argentina,Switzerland,Singapore,South Korea,Russia,France,Japan,Hong Kong,Netherlands,Sweden,Poland,Portugal,Hungary,Slovakia,Brazil,Germany,Lithuania,Turkey,India,United Kingdom,United States,Australia,Canada,Colombia;1-2 hour;Luke Snellin;Odeya Rush, Shameik Moore, Liv Hewson, Isabela Merced;PG-13;81;51;;1;;8-nov-19;8/11/2019;18282;5.8
Paradise Beach;Action, Thriller;French, Thai, English;Movie;United Kingdom,Mexico,Romania,Canada,South Africa,Thailand,Argentina,Hong Kong,South Korea,Switzerland,Singapore,Russia,Sweden,Poland,India,Hungary,Slovakia,Germany,Turkey,Lithuania,Australia,Spain,Portugal,Czech Republic,Belgium,United States,Greece,Malaysia,Brazil,Netherlands,Italy,Iceland,Israel,Colombia;1-2 hour;Xavier Durringer;Mlanie Doutey, Tewfik Jallab, Hugo Becker, Sami Bouajila;TV-MA;;;;;;20-feb-19;8/11/2019;1797;4.5
Green Eggs and Ham;Animation, Adventure, Comedy, Family;English;Series;Slovakia,Brazil,Lithuania,Switzerland,Turkey,South Africa,United Kingdom,Argentina,Spain,Mexico,Canada,Israel,Romania,Italy,Iceland,Belgium,United States,Greece,Thailand,Czech Republic,France,Japan,Singapore,South Korea,Russia,Netherlands,Hong Kong,Sweden,Poland,Portugal,Hungary,India,Germany,Australia,Malaysia,Colombia;< 30 minutes;;Michael Douglas, Jillian Bell, Adam Devine, Ilana Glazer;TV-Y7;;;1;4;;8-nov-19;8/11/2019;1827;8.2
Greatest Events of WWII in Colour;Documentary, History, War;English;Series;India,Slovakia,Lithuania,Brazil,Turkey,Switzerland,South Africa,United Kingdom,Argentina,Spain,Mexico,Canada,Romania,Israel,Italy,United States,Iceland,Belgium,Greece,Thailand,Czech Republic,France,Japan,South Korea,Netherlands,Russia,Singapore,Sweden,Poland,Hong Kong,Portugal,Hungary,Germany,Australia,Malaysia,Colombia;< 30 minutes;;Derek Jacobi, James Holland, Geoffrey Wawro;;;;;;;8-nov-19;8/11/2019;5276;8.7
A Date With Destiny;Comedy, Sci-Fi, Short;English;Movie;Brazil,Argentina,Mexico,Colombia;> 2 hrs;Mark Hartley;June Newbury, John Flaus, Randall Berger, Adam May;;;;;;;;8/11/2019;11;5.3
Up and Down;Comedy, Drama;Czech, English, German, Russian;Movie;Slovakia;1-2 hour;Jan Hrebejk;Jir Mach�cek, Emlia V�s�ryov�, Natasa Burger, Petr Forman;R;83;78;6;10;$ 245,13;16-sep-04;8/11/2019;1871;6.9
Forget About Nick;Comedy, Drama, Romance;German, English;Movie;Japan;1-2 hour;Margarethe von Trotta;Katja Riemann, Tinka F�rst, Ingrid Bols� Berdal, Haluk Bilginer;;;;;1;;07 Dec 2017;8/11/2019;472;5.3
Birds of Passage;Crime, Drama;Wayuu, Spanish, English;Movie;United Kingdom;> 2 hrs;Ciro Guerra, Cristina Gallego;Jhon Narv�ez, Jos Acosta, Carmi�a Martnez, Natalia Reyes;Not Rated;;85;31;39;$ 507,26;13-feb-19;7/11/2019;10231;7.5
Milocrorze: A Love Story;Comedy;Japanese;Movie;Japan;1-2 hour;Yoshimasa Ishibashi;Anna Ishibashi, Takayuki Yamada, Mieko Harada, Sayaka Fukita;;;;1;1;;10-jul-11;7/11/2019;198;6.6
Hurricane;Documentary, Short;English;Movie;Netherlands;1-2 hour;Jacqueline Farmer, Cyril Barban�on, Andy Byatt;Paloma Garcia Martens, Kristin Samuelson, Joe Fontana, John Flanders;G;;;;;;8-jun-16;7/11/2019;203;7
The Best of Enemies;Biography, Drama, History;English;Movie;South Africa,Russia,Portugal,Lithuania,Greece,Poland,Czech Republic,Slovakia,Spain,Belgium,Germany,Switzerland,United Kingdom;> 2 hrs;Robin Bissell;Babou Ceesay, Anne Heche, Sam Rockwell, Taraji P. Henson;PG-13;54;49;;4;$10,205,616;05 Apr 2019;7/11/2019;9930;7.2
What a Wonderful Family! 3: My Wife MY Life;Comedy, Drama;Japanese;Movie;Japan;> 2 hrs;Yji Yamada;Isao Hashizume, Yui Natsukawa, Masahiko Nishimura, Kazuko Yoshiyuki;;;;;1;;25-may-18;7/11/2019;335;6.9
Shadow;Action, Adventure, Drama, Fantasy, History, War;Mandarin;Movie;Australia,Canada,United Kingdom,United States;1-2 hour;Yimou Zhang;Li Sun, Chao Deng, Ryan Zheng, Qianyuan Wang;Not Rated;94;81;37;58;$ 521,40;30-sep-18;6/11/2019;12875;7
Undercover Brother 2;Comedy;English;Movie;United States;1-2 hour;Leslie Small;Barry Bostwick, Michael Jai White, Laila Odom, Vince Swann;R;;;;;;5-nov-19;6/11/2019;518;3.4
Burning Cane;Drama;English;Movie;United Kingdom,Australia,Canada,United States;1-2 hour;Phillip Youmans;Wendell Pierce, Karen Kaia Livers, Dominique McClellan, Braelyn Kelly;TV-MA;91;74;4;17;;6-nov-19;6/11/2019;546;5.5
Seth Meyers: Lobby Baby;Comedy;English;Movie;Lithuania,Russia,Singapore,Hong Kong,Portugal,Israel,South Africa,Italy,Iceland,Belgium,France,Australia,Netherlands,Sweden,Poland,Greece,Hungary,Germany,India,Brazil,Turkey,Switzerland,Argentina,Spain,Canada,Mexico,Thailand,Czech Republic,Japan,South Korea,Slovakia,United Kingdom,Romania,United States;1-2 hour;Neal Brennan;Jonathan Chacko, Seth Meyers;TV-MA;;;;2;;5-nov-19;6/11/2019;2067;7.5
LOVEhunt;Comedy, Romance;Czech, Slovak;Movie;Czech Republic,Slovakia;1-2 hour;Karel Jan�k;Ester Geislerov�, Jakub Prachar, Eva Kramerov�, Martin Psark;;;;;;;21-mar-19;6/11/2019;117;4.9
Thoroughbreds;Comedy, Crime, Drama, Thriller;English;Movie;Canada,Brazil,Portugal,Argentina,Mexico,Colombia,Lithuania,Poland,Greece,Czech Republic,South Africa,Thailand,Hungary,Slovakia,Israel,Australia,Turkey,India,Malaysia,Hong Kong,Russia,Singapore,Switzerland,Germany,Romania;1-2 hour;Cory Finley;Anton Yelchin, Anya Taylor-Joy, Olivia Cooke, Paul Sparks;R;87;75;1;21;$3,072,605;9-mar-18;6/11/2019;35682;6.7
Tune in for Love;Drama, Romance;Korean;Movie;United Kingdom,Spain,Canada,France,Russia,Poland,Sweden,India,Hungary,Slovakia,Germany,Lithuania,Mexico,Turkey,Thailand,South Africa,Romania,Switzerland,Australia,Czech Republic,Japan,South Korea,Belgium,Singapore,Hong Kong,Iceland,Portugal,Greece,Argentina,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia;> 2 hrs;Ji-woo Jung;Kim Guk-Hee, Jung Hae-In, Hae-Joon Park, Kim Go-eun;;;;4;12;;5-nov-19;5/11/2019;2241;7.1
Rafters;Comedy;Czech;Movie;Slovakia;1-2 hour;Karel Jan�k, Rudolf Merkner;Vojtech Kotek, Milan Steindler, Veronika Freimanov�, Jir M�dl;;;;2;1;;9-mar-06;5/11/2019;623;5.6
Voice;Biography, Drama;English;Series;France,Sweden,Russia,Poland,Australia,Japan,Singapore,Hong Kong,Hungary,Germany,India,Slovakia,Lithuania,Spain,United Kingdom,Canada,Mexico,Turkey,Romania,Switzerland,South Africa,Belgium,Czech Republic,Iceland,Portugal,Greece,Thailand,Argentina,South Korea,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia;< 30 minutes;;Sienna Miller, Russell Crowe, Seth MacFarlane, Annabelle Wallis;TV-MA;;;3;8;;30-jun-19;5/11/2019;11029;7.9
Liar, Liar, Vampire;Comedy, Family;English;Movie;United States;1-2 hour;Vince Marcello;Brec Bassinger, Rahart Adams, Alex Zahara, Tiera Skovbye;TV-G;50;;;;;12-oct-15;4/11/2019;813;5.8
LEGENDS OF THE HIDDEN TEMPLE;Adventure, Family;English;Movie;United States;1-2 hour;Joe Menendez;Colin Critchley, Kirk Fogg, Isabela Merced, Jet Jurgensmeyer;TV-Y;45;;1;7;;26-nov-16;4/11/2019;738;5.8
Murder on The Orient Express;Crime, Drama, Mystery;English, French, Arabic, German;Movie;Switzerland,Germany;1-2 hour;Kenneth Branagh;Yassine Zeroual, Paapa Essiedu, Michael Rouse, Asan N Jie;PG-13;60;52;1;25;$102,826,543;10-nov-17;4/11/2019;213437;6.5
The Devil Next Door;Documentary, Crime;English, Hebrew, German, Ukrainian;Series;Slovakia,Spain,United Kingdom,Canada,United States,South Korea,Australia,Singapore,France,Netherlands,Hong Kong,Russia,Sweden,Japan,Poland,Hungary,India,Germany,Lithuania,Brazil,Mexico,Turkey,Switzerland,South Africa,Romania,Italy,Israel,Czech Republic,Belgium,Iceland,Portugal,Greece,Thailand,Argentina,Malaysia,Colombia;< 30 minutes;;Eli Gabay, Eli Rosenbaum, Yoram Sheftel, Michael Shaked;TV-MA;;;;;;4-nov-19;4/11/2019;9813;7.6
Meet the Adebanjos;Comedy;English;Series;Australia,Russia,Singapore,India,Hungary,Slovakia,Lithuania,United Kingdom,Canada,Romania,South Africa,Czech Republic,Iceland,Greece,Thailand,Japan,France,Poland,Hong Kong,Sweden,Portugal,Belgium,Germany,Turkey,Mexico,Switzerland,Argentina,Spain,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia;< 30 minutes;;Daniel Davids;;;;;;;06 Apr 2012;4/11/2019;57;7.5
Oththa Seruppu Size 7;Drama;Tamil;Movie;Thailand,Australia,Singapore,Russia,India,Hungary,Lithuania,United Kingdom,Canada,South Africa,Romania,Czech Republic,United States,Greece,Slovakia,Malaysia,Iceland,Israel;1-2 hour;Parthiban;Gayathrie, Parthiban, Deepa Venkat;;;;;2;;25-sep-19;3/11/2019;2196;8.5
My Little Monster;Comedy, Drama, Romance;Japanese;Movie;Japan;1-2 hour;Sh Tsukikawa;Masaki Suda, Tao Tsuchiya, Y�ki Furukawa, Minami Hamabe;;;;;;;27 Apr 2018;3/11/2019;503;6.1
100 Things to do Before High School;Comedy, Family;English;Movie;United States;30-60 mins;;Jack De Sena, Jaheem Toombs, Owen Joyner, Isabela Merced;TV-G;;;4;1;;11-nov-14;2/11/2019;963;6.2
The Massively Mixed-Up Middle School Mystery;Comedy, Mystery;English;Movie;United States;30-60 mins;Will Eisenberg;Garrett Ryan, Brianne Tju, Adam Hochstetter, Haley Tju;;;;;;;01 Aug 2015;2/11/2019;66;7.2
Jinxed;Comedy, Family;English;Movie;United States;1-2 hour;Stephen Herek;Jack Griffo, Elena Kampouris, Jacob Bertrand, Ciara Bravo;G;;;;1;;29-nov-13;2/11/2019;1212;6.5
Escape from Mr. Lemoncellos Library;Family;English;Movie;United States;1-2 hour;Scott McAboy;Casey Simpson, AJ Rivera, Klarke Pipkin, Breanna Yde;TV-G;38;;3;3;;9-oct-17;2/11/2019;342;5.3
Bird Talk;Drama;Polish;Movie;France,Poland;> 2 hrs;Xawery Zulawski;Katarzyna Chojnacka, Jasmina Polak, Sebastian Fabijanski, Eryk Kulm;Not Rated;;;2;8;;25-may-20;2/11/2019;392;5.4
A Fairly Odd Summer;Animation, Comedy, Family, Fantasy;English;Movie;United States;1-2 hour;Savage Steve Holland;Ella Anderson, Drake Bell, Daniella Monet, Tara Strong;TV-G;31;;;;;02 Aug 2014;1/11/2019;432;3.8
The Boulet Brothers Dragula;Reality-TV;English;Series;United States;< 30 minutes;;The Boulet Brothers, Antonio Yee;;;;;;;31-oct-16;1/11/2019;731;7.8
Billy on the Street;Comedy, Game-Show, Reality-TV;English;Series;United States;< 30 minutes;;Billy Eichner;TV-14;;;;9;;22 Dec 2011;1/11/2019;2013;7.7
Grego Rossello: Disculpe las molestias;Comedy;Spanish;Movie;Argentina,Mexico,Israel,South Africa,Iceland,Italy,France,Australia,South Korea,Netherlands,Russia,Sweden,Singapore,Hong Kong,Poland,Belgium,Hungary,Portugal,Germany,Lithuania,Slovakia,Brazil,Turkey,Greece,United Kingdom,Spain,Canada,Switzerland,Romania,India,Japan,Czech Republic,Thailand,United States;1-2 hour;Juani Libonatti;Grego Rossello;TV-MA;;;;;;31-oct-19;1/11/2019;18;4.6
Christmas Survival;Comedy;English;Movie;United States;1-2 hour;James Dearden;Michael Landes, Joely Richardson, Julian Ovenden, Gemma Whelan;;0;;;;;26-jun-20;1/11/2019;728;5.1
Holly Star;Comedy;English;Movie;United States;1-2 hour;Michael A. Nickles;Erik Van Wyck, Michael A. Nickles, John Farrell, Katlyn Carlson;PG;53;;;;;04 Dec 2018;1/11/2019;443;5.2
Maid-Sama!;Animation, Comedy, Romance;Japanese;Series;United States,Canada;< 30 minutes;;David Matranga, Nobuhiko Okamoto, Ayumi Fujimura, Monica Rial;TV-14;;;;;;01 Apr 2010;1/11/2019;5124;8
The Public;Drama;English, Sign Languages;Movie;Canada,Australia;1-2 hour;Emilio Estevez;Alec Baldwin, Taylor Schilling, Jena Malone, Emilio Estevez;PG-13;;46;5;1;$ 573,50;25-jul-19;1/11/2019;3387;6.6
Phil;Comedy, Drama;English;Movie;Canada;1-2 hour;Greg Kinnear;Jay Duplass, Greg Kinnear, Bradley Whitford, Emily Mortimer;R;;30;1;3;;5-jul-19;1/11/2019;646;5.4
Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;English;Movie;Germany,Switzerland;1-2 hour;Martin McDonagh;Caleb Landry Jones, Kerry Condon, Sam Rockwell, Frances McDormand;R;90;88;132;225;$54,513,740;01 Dec 2017;1/11/2019;436020;8.1
Ferdinand;Animation, Adventure, Comedy, Family, Fantasy;English, Spanish, German;Movie;Switzerland,Germany;1-2 hour;Carlos Saldanha;Jack Gore, Colin H. Murphy, Nile Diaz, Jet Jurgensmeyer;PG;72;58;2;20;$84,410,380;15 Dec 2017;1/11/2019;48883;6.7
Fire in Paradise;Documentary, Short;English;Movie;United Kingdom,South Africa,Spain,Iceland,Portugal,Canada,Argentina,Turkey,United States,Thailand,Mexico,Romania,Italy,Switzerland,Czech Republic,Israel,Australia,Japan,South Korea,Hong Kong,France,Russia,Singapore,Netherlands,Sweden,India,Poland,Hungary,Belgium,Slovakia,Lithuania,Germany,Brazil,Greece,Malaysia,Colombia;30-60 mins;Drea Cooper, Zackary Canepari;Joy Beeson, Beth Bowersox, Abbie Davis, Jennifer Johnson;TV-MA;;;2;;;1-nov-19;1/11/2019;652;7.4
